stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,level_id,platform_code
U50S1,"Budějovická",50.04441,14.44879,"P",,1,,1,,
U52S1,"Chodov",50.03167,14.49096,"P",,1,,1,,
U75S1,"Kolbenova",50.11040,14.51640,"P",,1,,1,,
U78S1,"Ládví",50.12659,14.46945,"P",,1,,1,,
U100S1,"Vltavská",50.10030,14.43849,"P",,1,,1,,
U106S1,"Opatov",50.02789,14.50919,"P",,1,,1,,
U115S1,"Nádraží Holešovice",50.10892,14.44007,"P",,1,,1,,
U118S1,"Flora",50.07828,14.46259,"P",,1,,2,,
U135S1,"Hloubětín",50.10669,14.53639,"P",,1,,1,,
U142S1,"Hlavní nádraží",50.08351,14.43414,"P",,1,,1,,
U157S1,"Bořislavka",50.09834,14.36283,"P",,1,,1,,
U163S1,"Hradčanská",50.09744,14.40316,"P",,1,,2,,
U190S1,"I. P. Pavlova",50.07433,14.43031,"P",,1,,1,,
U209S1,"Jiřího z Poděbrad",50.07772,14.45075,"P",,1,,2,,
U228S1,"Kačerov",50.04184,14.45931,"P",,1,,2,,
U237S1,"Karlovo náměstí",50.07459,14.41698,"P",,1,,2,,
U258S1,"Lužiny",50.04450,14.33044,"P",,1,,1,,
U286S1,"Háje",50.03078,14.52697,"P",,1,,1,,
U306S1,"Nemocnice Motol",50.07539,14.34152,"P",,1,,1,,
U321S1,"Dejvická",50.10047,14.39317,"P",,1,,1,,
U332S1,"Střížkov",50.12617,14.48954,"P",,1,,1,,
U360S1,"Malostranská",50.09172,14.40921,"P",,1,,2,,
U385S1,"Pankrác",50.05103,14.43968,"P",,1,,1,,
U400S1,"Muzeum",50.07986,14.43138,"P",,1,,1,,
U458S1,"Smíchovské nádraží",50.06131,14.40911,"P",,1,,1,,
U462S1,"Nádraží Veleslavín",50.09586,14.34833,"P",,1,,1,,
U474S1,"Vysočanská",50.11006,14.50108,"P",,1,,1,,
U476S1,"Náměstí Míru",50.07531,14.43978,"P",,1,,2,,
U480S1,"Náměstí Republiky",50.08883,14.43060,"P",,1,,2,,
U507S1,"Petřiny",50.08684,14.34494,"P",,1,,1,,
U510S1,"Českomoravská",50.10616,14.49169,"P",,1,,2,,
U527S1,"Vyšehrad",50.06314,14.43052,"P",,1,,2,,
U529S1,"Palmovka",50.10398,14.47480,"P",,1,,1,,
U539S1,"Národní třída",50.07975,14.42029,"P",,1,,1,,
U597S1,"Pražského povstání",50.05686,14.43331,"P",,1,,2,,
U601S1,"Roztyly",50.03767,14.47674,"P",,1,,1,,
U602S1,"Nové Butovice",50.05084,14.35215,"P",,1,,1,,
U603S1,"Prosek",50.11925,14.49861,"P,0",,1,,1,,
U655S1,"Invalidovna",50.09680,14.46315,"P",,1,,2,,
U675S1,"Kobylisy",50.12412,14.45425,"P",,1,,1,,
U685S1,"Jinonice",50.05421,14.36991,"P",,1,,2,,
U689S1,"Florenc",50.09026,14.43841,"P",,1,,1,,
U703S1,"Staroměstská",50.08820,14.41767,"P",,1,,2,,
U713S1,"Strašnická",50.07307,14.49051,"P",,1,,1,,
U758S1,"Křižíkova",50.09255,14.45134,"P",,1,,2,,
U818S1,"Rajská zahrada",50.10685,14.56050,"P",,1,,1,,
U897S1,"Černý Most",50.10897,14.57683,"P",,1,,1,,
U921S1,"Želivského",50.07828,14.47548,"P",,1,,2,,
U953S1,"Skalka",50.06843,14.50786,"P",,1,,1,,
U957S1,"Radlická",50.05812,14.38776,"P",,1,,2,,
U1000S1,"Letňany",50.12625,14.51641,"P,0",,1,,1,,
U1007S1,"Luka",50.04567,14.32134,"P",,1,,1,,
U1040S1,"Anděl",50.06995,14.40377,"P",,1,,1,,
U1071S1,"Depo Hostivař",50.07553,14.51538,"P",,1,,1,,
U1072S1,"Můstek",50.08347,14.42397,"P",,1,,1,,
U1140S1,"Stodůlky",50.04670,14.30654,"P",,1,,1,,
U1141S1,"Zličín",50.05326,14.29110,"P",,1,,1,,
U1154S1,"Hůrka",50.05001,14.34279,"P",,1,,1,,
U1Z1P,"Boletická",50.13273,14.51370,"P",,0,,0,,A
U1Z2P,"Boletická",50.13301,14.51358,"P",,0,,0,,B
U3Z1P,"Břetislavka",50.12325,14.38953,"P",,0,,0,,A
U3Z1,"Břetislavka",50.12325,14.38953,"B",,0,,0,,A
U3Z2P,"Břetislavka",50.12301,14.38988,"P",,0,,0,,B
U3Z2,"Břetislavka",50.12301,14.38988,"B",,0,,0,,B
U4Z1P,"Arbesovo náměstí",50.07625,14.40420,"P",,0,,1,,A
U4Z2P,"Arbesovo náměstí",50.07589,14.40398,"P",,0,,1,,B
U4Z3P,"Arbesovo náměstí",50.07640,14.40570,"P",,0,,0,,C
U4Z4P,"Arbesovo náměstí",50.07656,14.40545,"P",,0,,0,,D
U5Z1P,"Nové Vokovice",50.10066,14.34071,"P",,0,,0,,A
U5Z2P,"Nové Vokovice",50.10055,14.34083,"P",,0,,0,,B
U6Z1P,"Dolnokřeslická",50.02428,14.56053,"P",,0,,0,,A
U6Z2P,"Dolnokřeslická",50.02421,14.56083,"P",,0,,0,,B
U9Z1,"Baba I",49.99793,14.41508,"0",,0,,0,,A
U9Z2,"Baba I",49.99857,14.41511,"0",,0,,0,,B
U10Z1,"Baba II",49.99959,14.41526,"0",,0,,0,,A
U10Z2,"Baba II",49.99957,14.41488,"0",,0,,0,,B
U11Z1P,"Násirovo náměstí",50.00151,14.42158,"P",,0,,0,,A
U11Z2P,"Násirovo náměstí",50.00125,14.42165,"P",,0,,0,,B
U12Z1P,"Balabenka",50.10476,14.48280,"P",,0,,1,,A
U12Z2P,"Balabenka",50.10434,14.48188,"P",,0,,1,,B
U12Z3P,"Balabenka",50.10423,14.48292,"P",,0,,1,,C
U12Z6P,"Balabenka",50.10346,14.48279,"P",,0,,0,,F
U12Z7P,"Balabenka",50.10332,14.48255,"P",,0,,0,,G
U13Z1P,"Balkán",50.09540,14.49626,"P",,0,,0,,A
U13Z2P,"Balkán",50.09420,14.49623,"P",,0,,0,,B
U14Z1P,"Baně",49.95258,14.37909,"P",,0,,0,,A
U14Z2P,"Baně",49.95278,14.37920,"P",,0,,0,,B
U14Z2,"Baně",49.95278,14.37920,"B",,0,,0,,B
U15Z1P,"Baterie",50.09239,14.36983,"P",,0,,1,,A
U15Z2P,"Baterie",50.09240,14.36941,"P",,0,,1,,B
U16Z1P,"Basilejské náměstí",50.08725,14.47157,"P",,0,,0,,A
U16Z2P,"Basilejské náměstí",50.08721,14.47053,"P",,0,,0,,B
U17Z1P,"Lehárova",50.00874,14.40629,"P",,0,,0,,A
U17Z2P,"Lehárova",50.00903,14.40521,"P",,0,,0,,B
U18Z1P,"Bazar",50.09879,14.67163,"P",,0,,0,,A
U18Z1,"Bazar",50.09879,14.67163,"B",,0,,0,,A
U18Z2P,"Bazar",50.09871,14.67130,"P",,0,,0,,B
U18Z2,"Bazar",50.09871,14.67130,"B",,0,,0,,B
U19Z1P,"Belárie",50.01361,14.40188,"P",,0,,1,,A
U19Z2P,"Belárie",50.01296,14.40180,"P",,0,,1,,B
U20Z1P,"Královský letohrádek",50.09423,14.40500,"P",,0,,1,,A
U20Z2P,"Královský letohrádek",50.09426,14.40453,"P",,0,,1,,B
U21Z1P,"Sídliště Letňany",50.14287,14.50652,"P",,0,,0,,A
U21Z2P,"Sídliště Letňany",50.14257,14.50659,"P",,0,,0,,B
U22Z1P,"K Lipanům",50.01575,14.60643,"P",,0,,0,,A
U22Z1,"K Lipanům",50.01575,14.60643,"B",,0,,0,,A
U22Z2P,"K Lipanům",50.01608,14.60652,"P",,0,,0,,B
U22Z2,"K Lipanům",50.01608,14.60652,"B",,0,,0,,B
U23Z1P,"Benkova",50.03793,14.49910,"P",,0,,0,,A
U23Z2P,"Benkova",50.03783,14.49976,"P",,0,,0,,B
U24Z1P,"Na Beránku",49.99759,14.42867,"P",,0,,0,,A
U24Z1,"Na Beránku",49.99759,14.42867,"B",,0,,0,,A
U24Z2P,"Na Beránku",49.99783,14.42951,"P",,0,,0,,B
U24Z2,"Na Beránku",49.99783,14.42951,"B",,0,,0,,B
U25Z1P,"Bertramka",50.07223,14.39329,"P",,0,,1,,A
U25Z2P,"Bertramka",50.07224,14.39243,"P",,0,,1,,B
U25Z51P,"Bertramka",50.07159,14.39488,"P",,0,,0,,H7
U25Z52P,"Bertramka",50.07232,14.39220,"P",,0,,0,,H8
U26Z1P,"Betonárka",50.03671,14.57479,"P",,0,,0,,A
U26Z1,"Betonárka",50.03671,14.57479,"B",,0,,0,,A
U26Z2P,"Betonárka",50.03677,14.57477,"P",,0,,0,,B
U26Z2,"Betonárka",50.03677,14.57477,"B",,0,,0,,B
U27Z1P,"Sídliště Jinonice",50.05101,14.36517,"P",,0,,0,,A
U27Z2P,"Sídliště Jinonice",50.05111,14.36611,"P",,0,,0,,B
U28Z1P,"Běchovice",50.08086,14.61760,"P",,0,,0,,A
U28Z2P,"Běchovice",50.08104,14.61726,"P",,0,,0,,B
U28Z3P,"Běchovice",50.08163,14.61651,"P",,0,,0,,C
U28Z4P,"Běchovice",50.08131,14.61630,"P",,0,,0,,D
U29Z1P,"Bělocerkevská",50.07261,14.47030,"P",,0,,0,,A
U29Z2P,"Bělocerkevská",50.07118,14.47062,"P",,0,,0,,B
U29Z3P,"Bělocerkevská",50.07190,14.47008,"P",,0,,0,,C
U30Z1P,"Sídliště Horní Počernice",50.11099,14.61376,"P",,0,,0,,A
U30Z2P,"Sídliště Horní Počernice",50.11160,14.61456,"P",,0,,0,,B
U31Z1P,"Bílá Hora",50.07555,14.32279,"P",,0,,2,,A
U31Z2P,"Bílá Hora",50.07586,14.32339,"P",,0,,2,,B
U31Z3P,"Bílá Hora",50.07557,14.32286,"P",,0,,2,,C
U31Z4P,"Bílá Hora",50.07580,14.32338,"P",,0,,2,,D
U31Z5P,"Bílá Hora",50.07597,14.32362,"P",,0,,0,,E
U31Z6P,"Bílá Hora",50.07573,14.32383,"P",,0,,0,,F
U31Z7P,"Bílá Hora",50.07556,14.32408,"P",,0,,0,,G
U31Z7,"Bílá Hora",50.07556,14.32408,"B",,0,,0,,G
U31Z8P,"Bílá Hora",50.07540,14.32150,"P",,0,,0,,H
U31Z8,"Bílá Hora",50.07540,14.32150,"B",,0,,0,,H
U32Z1P,"Bílá labuť",50.09017,14.43547,"P",,0,,1,,A
U32Z2P,"Bílá labuť",50.09035,14.43626,"P",,0,,1,,B
U33Z1P,"Bílý Beránek",50.06112,14.31027,"P",,0,,0,,A
U33Z2P,"Bílý Beránek",50.06104,14.30997,"P",,0,,0,,B
U33Z3,"Bílý Beránek",50.06176,14.30883,"0",,0,,0,,C
U33Z4,"Bílý Beránek",50.06161,14.30900,"0",,0,,0,,D
U34Z1P,"Biskupcova",50.08854,14.46879,"P",,0,,1,,A
U34Z2P,"Biskupcova",50.08910,14.46863,"P",,0,,1,,B
U34Z51P,"Biskupcova",50.08798,14.46901,"P",,0,,0,,Z1
U34Z52P,"Biskupcova",50.08909,14.46882,"P",,0,,0,,Z2
U35Z1P,"Blatnická",50.06430,14.27050,"P",,0,,0,,A
U35Z1,"Blatnická",50.06430,14.27050,"B",,0,,0,,A
U35Z2P,"Blatnická",50.06395,14.27052,"P",,0,,0,,B
U35Z2,"Blatnická",50.06395,14.27052,"B",,0,,0,,B
U36Z1P,"Blatov",50.07859,14.64618,"P",,0,,0,,A
U36Z2P,"Blatov",50.07891,14.64480,"P",,0,,0,,B
U37Z1P,"Bohdalec",50.06055,14.46950,"P",,0,,0,,A
U37Z2P,"Bohdalec",50.06005,14.47010,"P",,0,,0,,B
U38Z1P,"Staré Bohnice",50.13367,14.41573,"P",,0,,0,,A
U38Z2P,"Staré Bohnice",50.13331,14.41580,"P",,0,,0,,B
U38Z3P,"Staré Bohnice",50.13384,14.41588,"P",,0,,0,,C
U39Z1P,"Bojasova",50.13259,14.46246,"P",,0,,0,,A
U39Z2P,"Bojasova",50.13248,14.46276,"P",,0,,0,,B
U40Z1P,"Na Pískách",50.09896,14.36969,"P",,0,,1,,A
U40Z2P,"Na Pískách",50.09909,14.37034,"P",,0,,1,,B
U40Z6P,"Na Pískách",50.09853,14.36892,"P",,0,,0,,F
U42Z1P,"Botanická zahrada",50.07050,14.41961,"P",,0,,1,,A
U42Z2P,"Botanická zahrada",50.07105,14.41892,"P",,0,,1,,B
U42Z51P,"Botanická zahrada",50.07050,14.41961,"P",,0,,0,,A
U42Z52P,"Botanická zahrada",50.07105,14.41892,"P",,0,,2,,B
U43Z1P,"Brechtova",50.03553,14.51725,"P",,0,,0,,A
U43Z2P,"Brechtova",50.03519,14.51626,"P",,0,,0,,B
U44Z1P,"Břevnovská",50.08566,14.36504,"P",,0,,0,,A
U44Z2P,"Břevnovská",50.08536,14.36477,"P",,0,,0,,B
U45Z1P,"Bruselská",50.07313,14.43330,"P",,0,,1,,A
U45Z2P,"Bruselská",50.07288,14.43322,"P",,0,,1,,B
U46Z1P,"Brusnice",50.09298,14.39173,"P",,0,,1,,A
U46Z2P,"Brusnice",50.09300,14.39126,"P",,0,,2,,B
U46Z3P,"Brusnice",50.09314,14.39317,"P",,0,,1,,C
U47Z1P,"Blatiny",50.06570,14.30362,"P",,0,,1,,A
U47Z2P,"Blatiny",50.06580,14.30210,"P",,0,,1,,B
U47Z3P,"Blatiny",50.06582,14.30235,"P",,0,,0,,C
U47Z4P,"Blatiny",50.06565,14.30253,"P",,0,,0,,D
U48Z1P,"Argentinská",50.10368,14.44343,"P",,0,,0,,A
U48Z2P,"Argentinská",50.10243,14.44308,"P",,0,,0,,B
U48Z3P,"Argentinská",50.10303,14.44367,"P",,0,,0,,C
U49Z1P,"Geologická",50.03650,14.38700,"P",,0,,0,,A
U49Z2P,"Geologická",50.03633,14.38716,"P",,0,,0,,B
U49Z3P,"Geologická",50.03586,14.38755,"P",,0,,0,,C
U49Z4P,"Geologická",50.03651,14.38843,"P",,0,,1,,D
U49Z5P,"Geologická",50.03625,14.38944,"P",,0,,1,,E
U50Z1,"Budějovická",50.04476,14.44759,"0",,0,,0,,A
U50Z2P,"Budějovická",50.04484,14.44789,"P",,0,,0,,B
U50Z3P,"Budějovická",50.04444,14.44783,"P",,0,,0,,F
U50Z4,"Budějovická",50.04473,14.44833,"0",,0,,1,,C
U50Z5P,"Poliklinika Budějovická",50.04323,14.45003,"P",,0,,0,,P
U50Z6P,"Poliklinika Budějovická",50.04328,14.44980,"P",,0,,0,,L
U50Z7P,"Budějovická",50.04593,14.44940,"P",,0,,0,,I
U50Z8P,"Budějovická",50.04623,14.44740,"P",,0,,0,,J
U50Z9,"Budějovická",50.04460,14.44810,"0",,0,,0,,D
U50Z13P,"Poliklinika Budějovická",50.04359,14.45029,"P",,0,,0,,N
U50Z14P,"Poliklinika Budějovická",50.04332,14.45020,"P",,0,,0,,O
U50Z15P,"Budějovická",50.04478,14.44923,"P",,0,,0,,H
U50Z84,"Budějovická",50.04476,14.44759,"0",,0,,0,,A
U50Z101P,"Budějovická",50.04449,14.44870,"P",,0,U50S1,1,U50L2,1
U50Z102P,"Budějovická",50.04447,14.44866,"P",,0,U50S1,1,U50L2,2
U51Z1P,"Sportareál Satalice",50.12360,14.56698,"P",,0,,0,,A
U51Z1,"Sportareál Satalice",50.12360,14.56698,"B",,0,,0,,A
U51Z2P,"Sportareál Satalice",50.12325,14.56656,"P",,0,,0,,B
U51Z2,"Sportareál Satalice",50.12325,14.56656,"B",,0,,0,,B
U52Z1P,"Chodov",50.03065,14.49190,"P",,0,,0,,A
U52Z2P,"Chodov",50.03077,14.49146,"P",,0,,0,,B
U52Z4P,"Chodov",50.03088,14.49175,"P",,0,,0,,D
U52Z5P,"Chodov",50.03109,14.49152,"P",,0,,0,,E
U52Z101P,"Chodov",50.03164,14.49094,"P",,0,U52S1,1,U52L2,1
U52Z102P,"Chodov",50.03170,14.49098,"P",,0,U52S1,1,U52L2,2
U53Z1P,"Budovec",50.13385,14.38387,"P",,0,,0,,A
U53Z2P,"Budovec",50.13470,14.38343,"P",,0,,0,,B
U54Z1P,"Bulovka",50.11606,14.46815,"P",,0,,1,,A
U54Z2P,"Bulovka",50.11655,14.46776,"P",,0,,1,,B
U54Z3P,"Bulovka",50.11663,14.46717,"P",,0,,0,,C
U54Z4P,"Bulovka",50.11760,14.46893,"P",,0,,0,,D
U54Z5P,"Bulovka",50.11604,14.46716,"P",,0,,0,,E
U54Z6P,"Bulovka",50.11560,14.46852,"P",,0,,0,,F
U54Z6,"Bulovka",50.11560,14.46852,"0",,0,,0,,F
U54Z76,"Bulovka",50.11560,14.46852,"0",,0,,0,,F
U55Z1P,"Šimůnkova",50.13265,14.47013,"P",,0,,0,,A
U55Z2P,"Šimůnkova",50.13262,14.47063,"P",,0,,0,,B
U55Z3P,"Šimůnkova",50.13353,14.47065,"P",,0,,0,,C
U56Z1P,"Kuliška",50.10775,14.36448,"P",,0,,0,,A
U56Z2P,"Kuliška",50.10764,14.36436,"P",,0,,0,,B
U57Z1P,"Cementárna Radotín",49.99382,14.34262,"P",,0,,0,,A
U57Z1,"Cementárna Radotín",49.99382,14.34262,"0",,0,,0,,A
U57Z2P,"Cementárna Radotín",49.99437,14.34250,"P",,0,,0,,B
U57Z2,"Cementárna Radotín",49.99437,14.34250,"0",,0,,0,,B
U58Z1P,"Cibulka",50.06558,14.36300,"P",,0,,0,,A
U58Z2P,"Cibulka",50.06548,14.36374,"P",,0,,0,,B
U59Z1P,"Cikánka",49.99748,14.32258,"P",,0,,0,,A
U59Z2P,"Cikánka",49.99742,14.32267,"P",,0,,0,,B
U60Z1P,"Cílkova",50.01645,14.44347,"P",,0,,0,,A
U60Z2P,"Cílkova",50.01655,14.44315,"P",,0,,0,,B
U61Z1P,"Ciolkovského",50.08812,14.30708,"P",,0,,0,,A
U61Z2P,"Ciolkovského",50.08797,14.30665,"P",,0,,0,,B
U61Z3P,"Ciolkovského",50.08811,14.30744,"P",,0,,0,,C
U62Z1P,"Cukrovar Modřany",49.99933,14.40635,"P",,0,,0,,A
U62Z1,"Cukrovar Modřany",49.99933,14.40635,"0",,0,,0,,A
U62Z2P,"Cukrovar Modřany",49.99962,14.40637,"P",,0,,0,,B
U62Z2,"Cukrovar Modřany",49.99962,14.40637,"0",,0,,0,,B
U63Z1P,"Cukrovar Čakovice",50.15155,14.51917,"P",,0,,0,,A
U63Z2P,"Cukrovar Čakovice",50.15167,14.51883,"P",,0,,0,,B
U64Z1P,"Čakovice",50.15181,14.52882,"P",,0,,0,,A
U64Z1,"Čakovice",50.15181,14.52882,"B",,0,,0,,A
U64Z2P,"Čakovice",50.15149,14.53098,"P",,0,,0,,B
U64Z3P,"Čakovice",50.15128,14.53108,"P",,0,,0,,C
U64Z3,"Čakovice",50.15128,14.53108,"B",,0,,0,,C
U64Z6P,"Čakovice",50.15118,14.53066,"P",,0,,0,,F
U65Z1P,"Čakovická",50.11902,14.51895,"P",,0,,0,,A
U65Z2P,"Čakovická",50.11913,14.51850,"P",,0,,0,,B
U66Z1P,"Čechova škola",50.11738,14.42430,"P",,0,,0,,A
U66Z2P,"Čechova škola",50.11699,14.42255,"P",,0,,0,,B
U67Z2P,"Čechovo náměstí",50.06807,14.45947,"P",,0,,1,,B
U67Z3P,"Čechovo náměstí",50.06828,14.45797,"P",,0,,2,,3
U67Z4P,"Čechovo náměstí",50.06786,14.45824,"P",,0,,1,,D
U67Z7P,"Čechovo náměstí",50.06817,14.45904,"P",,0,,1,,G
U67Z52P,"Čechovo náměstí",50.06807,14.45947,"P",,0,,0,,B
U67Z54P,"Čechovo náměstí",50.06786,14.45824,"P",,0,,0,,Z4
U68Z1P,"Čechův most",50.09405,14.41689,"P",,0,,2,,A
U68Z2P,"Čechův most",50.09409,14.41773,"P",,0,,2,,B
U69Z2P,"Černínova",50.08911,14.46204,"P",,0,,0,,B
U70Z1P,"Černokostelecká",50.07788,14.51065,"P",,0,,1,,A
U70Z2P,"Černokostelecká",50.07782,14.51135,"P",,0,,1,,B
U70Z3P,"Černokostelecká",50.07806,14.50938,"P",,0,,1,,C
U70Z4P,"Černokostelecká",50.07815,14.50996,"P",,0,,1,,D
U70Z6P,"Černokostelecká",50.07787,14.50881,"P",,0,,0,,F
U70Z7P,"Černokostelecká",50.07774,14.51099,"P",,0,,0,,G
U71Z1P,"Černý kůň",50.02308,14.40373,"P",,0,,1,,A
U71Z2P,"Černý kůň",50.02252,14.40353,"P",,0,,1,,B
U71Z3P,"Černý kůň",50.02235,14.40373,"P",,0,,0,,C
U71Z4P,"Černý kůň",50.02244,14.40409,"P",,0,,0,,D
U71Z5P,"Černý kůň",50.02260,14.40514,"P",,0,,0,,E
U71Z6P,"Černý kůň",50.02271,14.40497,"P",,0,,0,,F
U72Z1P,"Lehovec",50.10688,14.54722,"P",,0,,1,,A
U72Z2P,"Lehovec",50.10682,14.54798,"P",,0,,1,,B
U72Z3P,"Lehovec",50.10686,14.54738,"P",,0,,1,,C
U72Z4P,"Lehovec",50.10696,14.54728,"P",,0,,0,,D
U72Z4,"Lehovec",50.10696,14.54728,"0",,0,,0,,D
U72Z5P,"Lehovec",50.10730,14.54797,"P",,0,,0,,E
U72Z5,"Lehovec",50.10730,14.54797,"0",,0,,0,,E
U73Z1P,"Červený Vrch",50.09684,14.35297,"P",,0,,1,,A
U73Z2P,"Červený Vrch",50.09682,14.35231,"P",,0,,1,,B
U74Z1P,"Čimice",50.14072,14.43083,"P",,0,,0,,A
U74Z2P,"Čimice",50.14090,14.43048,"P",,0,,0,,B
U75Z1P,"Kolbenova",50.11062,14.51585,"P",,0,,1,,A
U75Z2P,"Kolbenova",50.11055,14.51617,"P",,0,,1,,B
U75Z101P,"Kolbenova",50.11043,14.51640,"P",,0,U75S1,0,U75L1,1
U75Z102P,"Kolbenova",50.11035,14.51639,"P",,0,U75S1,0,U75L1,2
U76Z1P,"Modřanská škola",50.00922,14.40305,"P",,0,,1,,A
U76Z2P,"Modřanská škola",50.00843,14.40311,"P",,0,,1,,B
U76Z3P,"Modřanská škola",50.00980,14.40295,"P",,0,,0,,C
U76Z4P,"Modřanská škola",50.00882,14.40347,"P",,0,,0,,D
U78Z1P,"Ládví",50.12648,14.47014,"P",,0,,1,,A
U78Z2P,"Ládví",50.12650,14.47099,"P",,0,,1,,B
U78Z3P,"Ládví",50.12663,14.47023,"P",,0,,0,,C
U78Z3,"Ládví",50.12663,14.47023,"0",,0,,0,,C
U78Z4P,"Ládví",50.12626,14.46977,"P",,0,,0,,D
U78Z5,"Ládví",50.12622,14.46929,"0",,0,,0,,E
U78Z6,"Ládví",50.12619,14.46881,"0",,0,,0,,F
U78Z101P,"Ládví",50.12663,14.46955,"P",,0,U78S1,1,U78L2,1
U78Z102P,"Ládví",50.12667,14.46954,"P",,0,U78S1,1,U78L2,2
U79Z1P,"Depo Kačerov",50.04568,14.47035,"P",,0,,0,,A
U79Z2P,"Depo Kačerov",50.04564,14.47068,"P",,0,,0,,B
U80Z1P,"Dědina",50.09349,14.30474,"P",,0,,0,,A
U80Z2P,"Dědina",50.09333,14.30416,"P",,0,,0,,B
U80Z2,"Dědina",50.09333,14.30416,"B",,0,,0,,B
U80Z3,"Dědina",50.09363,14.30294,"B",,0,,0,,C
U80Z4,"Dědina",50.09333,14.30359,"B",,0,,0,,D
U81Z1P,"Dělnická",50.10366,14.44982,"P",,0,,1,,A
U81Z2P,"Dělnická",50.10263,14.45004,"P",,0,,1,,B
U81Z3P,"Tusarova",50.10078,14.45002,"P",,0,,1,,C
U82Z1P,"Bílenecké náměstí",50.14964,14.44248,"P",,0,,0,,A
U82Z2P,"Bílenecké náměstí",50.14949,14.44270,"P",,0,,0,,B
U83Z1P,"Divadlo Na Fidlovačce",50.06483,14.43628,"P",,0,,2,,A
U83Z2P,"Divadlo Na Fidlovačce",50.06465,14.43713,"P",,0,,1,,B
U83Z51P,"Divadlo Na Fidlovačce",50.06584,14.43392,"P",,0,,0,,Z1
U83Z52P,"Divadlo Na Fidlovačce",50.06465,14.43713,"P",,0,,2,,B
U84Z1P,"Dívčí hrady",50.05585,14.39915,"P",,0,,0,,A
U84Z2P,"Dívčí hrady",50.05566,14.39863,"P",,0,,0,,B
U84Z3P,"Dívčí hrady",50.05611,14.39774,"P",,0,,0,,C
U85Z1P,"Divoká Šárka",50.09279,14.32468,"P",,0,,2,,A
U85Z2P,"Divoká Šárka",50.09308,14.32502,"P",,0,,2,,B
U85Z3P,"Divoká Šárka",50.09273,14.32568,"P",,0,,1,,C
U85Z4P,"Divoká Šárka",50.09291,14.32533,"P",,0,,1,,D
U85Z6P,"Divoká Šárka",50.09160,14.32448,"P",,0,,0,,F
U85Z7P,"Divoká Šárka",50.09276,14.32286,"P",,0,,0,,G
U85Z8P,"Divoká Šárka",50.09256,14.32208,"P",,0,,0,,H
U85Z8,"Divoká Šárka",50.09256,14.32208,"B",,0,,0,,H
U85Z9,"Divoká Šárka",50.09276,14.32348,"B",,0,,0,,I
U87Z1P,"Dlouhá třída",50.09167,14.42754,"P",,0,,1,,A
U87Z2P,"Dlouhá třída",50.09054,14.42790,"P",,0,,2,,B
U88Z1P,"Dobeška",50.04215,14.41632,"P",,0,,0,,A
U88Z2P,"Dobeška",50.04151,14.41568,"P",,0,,0,,B
U89Z1P,"Dobratická",50.13032,14.50865,"P",,0,,0,,A
U89Z1,"Dobratická",50.13032,14.50865,"0",,0,,0,,A
U89Z2P,"Dobratická",50.13037,14.50838,"P",,0,,0,,B
U89Z2,"Dobratická",50.13037,14.50838,"0",,0,,0,,B
U90Z1P,"Dobročovická",50.07341,14.50511,"P",,0,,0,,A
U90Z2P,"Dobročovická",50.07326,14.50473,"P",,0,,0,,B
U91Z1P,"Dobronická",50.01098,14.47147,"P",,0,,0,,A
U91Z2P,"Dobronická",50.01105,14.47245,"P",,0,,0,,B
U92Z1P,"Prunéřovská",50.14394,14.45098,"P",,0,,0,,A
U92Z1,"Prunéřovská",50.14394,14.45098,"B",,0,,0,,A
U92Z2P,"Prunéřovská",50.14380,14.45075,"P",,0,,0,,B
U92Z2,"Prunéřovská",50.14380,14.45075,"B",,0,,0,,B
U93Z1P,"Dolní Chabry",50.15104,14.43757,"P",,0,,0,,A
U93Z2P,"Dolní Chabry",50.15102,14.43782,"P",,0,,0,,B
U94Z1P,"Osecká",50.14648,14.44902,"P",,0,,0,,A
U94Z3P,"Osecká",50.14618,14.44807,"P",,0,,0,,C
U96Z1P,"Dolnoměcholupská",50.06060,14.55672,"P",,0,,0,,A
U96Z1,"Dolnoměcholupská",50.06060,14.55672,"0",,0,,0,,A
U96Z2P,"Dolnoměcholupská",50.05952,14.55877,"P",,0,,0,,B
U96Z2,"Dolnoměcholupská",50.05952,14.55877,"0",,0,,0,,B
U96Z3P,"U Střediska",50.05875,14.55823,"P",,0,,0,,C
U96Z3,"U Střediska",50.05875,14.55823,"0",,0,,0,,C
U96Z4P,"U Střediska",50.05857,14.55726,"P",,0,,0,,D
U96Z4,"U Střediska",50.05857,14.55726,"0",,0,,0,,D
U97Z1P,"Dolní Počernice",50.08498,14.57720,"P",,0,,0,,A
U97Z2P,"Dolní Počernice",50.08508,14.57740,"P",,0,,0,,B
U97Z3P,"Dolní Počernice",50.08565,14.57626,"P",,0,,0,,C
U98Z1P,"Doliny",50.05742,14.42544,"P",,0,,0,,A
U98Z2P,"Doliny",50.05750,14.42345,"P",,0,,0,,B
U99Z1P,"Donovalská",50.03740,14.50888,"P",,0,,0,,A
U99Z2P,"Donovalská",50.03648,14.50855,"P",,0,,0,,B
U100Z1P,"Vltavská",50.09923,14.43812,"P",,0,,1,,A
U100Z2P,"Vltavská",50.09881,14.43876,"P",,0,,1,,B
U100Z5P,"Vltavská",50.09811,14.43881,"P",,0,,0,,E
